metric,group,mean,std,sem,n,mean_seconds,std_seconds,sem_seconds
Behavioral dynamics score,Control,-0.15920515168425448,0.44551709897959374,0.06957808133334162,41,,,
Behavioral dynamics score,ELS,0.1763500897225285,0.43714498591120204,0.06827057694049413,41,,,
Climb frequency,Control,,,,41,16.25073170731707,8.529923912393327,1.3321503060220425
Climb frequency,ELS,,,,29,16.786206896551725,12.381928194461793,2.2992663433545557
Climb frequency,ELS resilient,,,,12,15.426666666666668,13.906601005103708,4.014489916904673
Freeze frequency,Control,,,,41,102.39804878048783,38.55295573749905,6.020960129450145
Freeze frequency,ELS,,,,29,72.53793103448275,31.15263361709228,5.784898834631746
Freeze frequency,ELS resilient,,,,12,112.38666666666666,37.255330633428294,10.754687584979168
Groom frequency,Control,,,,41,0.19707317073170733,0.295620059387375,0.04616809676425949
Groom frequency,ELS,,,,29,0.23172413793103447,0.4876039740075755,0.09054578484981114
Groom frequency,ELS resilient,,,,12,0.21333333333333337,0.40768377525486665,0.11768816869382008
Jump frequency,Control,,,,41,3.0126829268292683,1.5170877106981058,0.23692929489469647
Jump frequency,ELS,,,,29,3.117241379310345,1.71979836141941,0.319358538320117
Jump frequency,ELS resilient,,,,12,2.9133333333333336,1.504014829069383,0.4341716832141987
Locomotion frequency,Control,,,,41,23.746341463414634,17.579530391352545,2.745461393452606
Locomotion frequency,ELS,,,,29,20.736551724137932,15.719791046380735,2.9190919144302625
Locomotion frequency,ELS resilient,,,,12,20.106666666666666,14.049878248151431,4.055850494325848
Sniff frequency,Control,,,,41,13.897560975609755,19.91629895092055,3.1104033300633604
Sniff frequency,ELS,,,,29,28.718620689655168,33.70555779987902,6.2589649540947025
Sniff frequency,ELS resilient,,,,12,21.71666666666667,23.28207712278943,6.720956747068053
Turn frequency,Control,,,,41,191.11902439024394,31.819687600986757,4.969400314766337
Turn frequency,ELS,,,,29,219.80275862068962,26.598732367291454,4.939260602025082
Turn frequency,ELS resilient,,,,12,190.83666666666667,15.738633031396652,4.543352008676797
